	Label	Score
0	1.0	0.991
1	0.0	0.096
2	0.0	0.47
3	1.0	0.905
4	1.0	0.835
5	1.0	0.977
6	0.0	0.522
7	1.0	0.456
8	0.0	0.43
9	1.0	0.987
10	1.0	0.389
11	0.0	0.284
12	0.0	0.064
13	1.0	0.943
14	1.0	0.969
15	1.0	0.939
16	0.0	0.369
17	1.0	0.762
18	0.0	0.391
19	0.0	0.047
20	1.0	0.941
21	1.0	0.942
22	1.0	0.419
23	1.0	0.979
24	1.0	0.732
25	0.0	0.057
26	1.0	0.784
27	1.0	0.069
28	1.0	0.931
29	0.0	0.9
30	0.0	0.119
31	1.0	0.968
32	1.0	0.865
33	0.0	0.027
34	1.0	0.429
35	1.0	0.845
36	0.0	0.142
37	0.0	0.51
38	0.0	0.02
39	1.0	0.902
40	0.0	0.394
41	1.0	0.837
42	0.0	0.176
43	1.0	0.12
44	1.0	0.903
45	1.0	0.87
46	0.0	0.511
47	0.0	0.339
48	0.0	0.465
49	0.0	0.73
50	1.0	0.539
51	1.0	0.892
52	0.0	0.54
53	1.0	0.923
54	1.0	0.917
55	1.0	0.907
56	1.0	0.965
57	0.0	0.178
58	0.0	0.558
59	1.0	0.337
60	0.0	0.231
61	1.0	0.979
62	1.0	0.855
63	1.0	0.923
64	1.0	0.84
65	1.0	0.943
66	0.0	0.161
67	0.0	0.579
68	1.0	0.942
69	0.0	0.837
70	1.0	0.885
71	1.0	0.997
72	1.0	0.845
73	1.0	0.99
74	0.0	0.312
75	1.0	0.833
76	1.0	0.653
77	1.0	0.799
78	1.0	0.724
79	1.0	0.56
80	0.0	0.201
81	1.0	0.973
82	1.0	0.911
83	1.0	0.805
84	1.0	0.889
85	1.0	0.837
86	1.0	0.927
87	0.0	0.931
88	1.0	0.979
89	1.0	0.963
90	1.0	0.794
91	1.0	0.763
92	0.0	0.215
93	1.0	0.786
94	1.0	0.91
95	1.0	0.978
96	1.0	0.302
97	0.0	0.644
98	0.0	0.164
99	1.0	0.954
100	0.0	0.057
101	0.0	0.621
102	0.0	0.548
103	1.0	0.767
104	1.0	0.954
105	1.0	0.89
106	0.0	0.537
107	1.0	0.96
108	0.0	0.025
109	1.0	0.95
110	0.0	0.023
111	0.0	0.565
112	0.0	0.566
113	0.0	0.088
114	1.0	0.973
115	1.0	0.946
116	1.0	0.939
117	1.0	0.139
118	0.0	0.007
119	1.0	0.554
120	0.0	0.173
121	1.0	0.929
122	1.0	0.973
123	1.0	0.906
124	0.0	0.641
125	1.0	0.943
126	1.0	0.985
127	1.0	0.981
128	1.0	0.987
129	1.0	0.308
130	1.0	0.773
131	0.0	0.763
132	0.0	0.265
133	1.0	0.863
134	1.0	0.918
135	1.0	0.974
136	0.0	0.025
137	1.0	0.974
138	1.0	0.384
139	1.0	0.519
140	1.0	0.748
141	1.0	0.647
142	0.0	0.92
143	0.0	0.596
144	1.0	0.973
145	0.0	0.03
146	1.0	0.947
147	1.0	0.969
148	1.0	0.969
149	0.0	0.461
150	1.0	0.488
151	1.0	0.991
152	1.0	0.748
153	1.0	0.772
154	0.0	0.162
155	1.0	0.943
156	1.0	0.468
157	0.0	0.163
158	0.0	0.635
159	0.0	0.26
160	1.0	0.918
161	1.0	0.993
162	0.0	0.462
163	0.0	0.048
164	1.0	0.802
165	1.0	0.76
166	1.0	0.412
167	0.0	0.351
168	1.0	0.948
169	1.0	0.945
170	1.0	0.826
171	0.0	0.021
172	1.0	0.701
173	1.0	0.916
174	1.0	0.644
175	1.0	0.849
176	1.0	0.531
177	1.0	0.721
178	0.0	0.577
179	1.0	0.911
180	1.0	0.973
181	1.0	0.896
182	1.0	0.666
183	1.0	0.963
184	1.0	0.983
185	1.0	0.997
186	1.0	0.963
187	1.0	0.929
188	0.0	0.14
189	1.0	0.939
190	1.0	0.973
191	1.0	0.959
192	1.0	0.951
193	1.0	0.948
194	0.0	0.667
195	1.0	0.978
196	0.0	0.276
197	1.0	0.681
198	1.0	0.95
199	0.0	0.466
200	1.0	0.818
201	1.0	0.963
202	1.0	0.726
203	0.0	0.885
204	1.0	0.982
205	1.0	0.731
206	1.0	0.518
207	1.0	0.755
208	1.0	0.935
209	1.0	0.987
210	1.0	0.918
211	1.0	0.936
212	1.0	0.993
213	1.0	0.775
214	1.0	0.751
215	1.0	0.919
216	0.0	0.034
217	1.0	0.913
218	0.0	0.102
219	0.0	0.282
220	1.0	0.803
221	1.0	0.921
222	1.0	0.975
223	0.0	0.342
224	1.0	0.92
225	1.0	0.937
226	1.0	0.973
227	0.0	0.668
228	1.0	0.975
229	1.0	0.97
230	0.0	0.834
231	1.0	0.908
232	0.0	0.587
233	1.0	0.946
234	1.0	0.848
235	1.0	0.936
236	1.0	0.248
237	1.0	0.856
238	1.0	0.947
239	1.0	0.528
240	1.0	0.927
241	1.0	0.967
242	1.0	0.96
243	1.0	0.755
244	0.0	0.48
245	1.0	0.96
246	0.0	0.31
247	0.0	0.544
248	1.0	0.764
249	1.0	0.945
250	1.0	0.952
251	0.0	0.092
252	1.0	0.38
253	0.0	0.298
254	1.0	0.781
255	1.0	0.908
256	1.0	0.724
257	1.0	0.74
258	0.0	0.026
259	1.0	0.993
260	1.0	0.859
261	0.0	0.026
262	1.0	0.738
263	0.0	0.696
264	1.0	0.964
265	0.0	0.035
266	0.0	0.007
267	1.0	0.746
268	0.0	0.91
269	1.0	0.859
270	1.0	0.972
271	1.0	0.899
272	1.0	0.827
273	1.0	0.168
274	0.0	0.271
275	1.0	0.8
276	0.0	0.44
277	1.0	0.333
278	1.0	0.544
279	0.0	0.846
280	0.0	0.185
281	0.0	0.061
282	0.0	0.43
283	0.0	0.221
284	1.0	0.821
285	1.0	0.959
286	0.0	0.319
287	1.0	0.658
288	1.0	0.957
289	0.0	0.694
290	1.0	0.945
291	1.0	0.729
292	0.0	0.041
293	0.0	0.018
294	0.0	0.098
295	1.0	0.414
296	1.0	0.933
297	1.0	0.966
298	1.0	0.889
299	1.0	0.952
300	0.0	0.262
301	1.0	0.82
302	1.0	0.957
303	1.0	0.985
304	1.0	0.951
305	1.0	0.944
306	1.0	0.966
307	1.0	0.973
308	0.0	0.112
309	0.0	0.387
310	1.0	0.949
311	1.0	0.969
312	0.0	0.273
313	0.0	0.414
314	1.0	0.924
315	1.0	0.96
316	1.0	0.905
317	1.0	0.822
318	0.0	0.228
319	1.0	0.967
320	0.0	0.006
321	1.0	0.828
322	1.0	0.293
323	1.0	0.988
324	1.0	0.329
325	0.0	0.033
326	1.0	0.986
327	1.0	0.939
328	1.0	0.703
329	1.0	0.964
330	1.0	0.805
331	0.0	0.473
332	0.0	0.713
333	1.0	0.62
334	0.0	0.717
335	0.0	0.327
336	1.0	0.849
337	0.0	0.612
338	0.0	0.459
339	1.0	0.735
340	1.0	0.877
341	1.0	0.631
342	1.0	0.939
343	0.0	0.164
344	0.0	0.237
345	1.0	0.845
346	0.0	0.084
347	0.0	0.044
348	1.0	0.966
349	1.0	0.823
350	1.0	0.935
351	1.0	0.165
352	1.0	0.821
353	1.0	0.948
354	1.0	0.883
355	0.0	0.604
356	0.0	0.022
357	0.0	0.729
358	1.0	0.467
359	1.0	0.955
360	1.0	0.931
361	1.0	0.616
362	1.0	0.362
363	0.0	0.47
364	1.0	0.806
365	1.0	0.954
366	1.0	0.954
367	1.0	0.964
368	1.0	0.977
369	1.0	0.961
370	0.0	0.779
371	1.0	0.974
372	0.0	0.586
373	0.0	0.425
374	1.0	0.615
375	1.0	0.889
376	1.0	0.648
377	0.0	0.198
378	0.0	0.042
379	0.0	0.565
380	1.0	0.97
381	0.0	0.208
382	0.0	0.099
383	1.0	0.96
384	1.0	0.955
385	0.0	0.246
386	1.0	0.973
387	1.0	0.958
388	1.0	0.955
389	0.0	0.275
390	1.0	0.701
391	0.0	0.845
392	1.0	0.931
393	0.0	0.111
394	1.0	0.943
395	1.0	0.96
396	0.0	0.729
397	1.0	0.897
398	0.0	0.707
399	1.0	0.968
400	1.0	0.973
401	1.0	0.989
402	1.0	0.882
403	0.0	0.022
404	0.0	0.51
405	1.0	0.74
406	1.0	0.982
407	1.0	0.983
408	0.0	0.444
409	0.0	0.232
410	1.0	0.943
411	1.0	0.956
412	1.0	0.972
413	0.0	0.022
414	0.0	0.867
415	0.0	0.025
416	0.0	0.528
417	0.0	0.104
418	1.0	0.886
419	1.0	0.58
420	0.0	0.702
421	1.0	0.751
422	0.0	0.732
423	1.0	0.916
424	1.0	0.956
425	1.0	0.935
426	1.0	0.865
427	0.0	0.017
428	1.0	0.912
429	1.0	0.958
430	1.0	0.935
431	1.0	0.978
432	0.0	0.752
433	0.0	0.077
434	1.0	0.82
435	1.0	0.972
436	1.0	0.897
437	1.0	0.742
438	1.0	0.983
439	0.0	0.635
440	1.0	0.904
441	1.0	0.973
442	1.0	0.642
443	0.0	0.527
444	1.0	0.949
445	0.0	0.686
446	1.0	0.755
447	0.0	0.915
448	1.0	0.972
449	0.0	0.038
450	0.0	0.208
451	0.0	0.556
452	1.0	0.986
453	0.0	0.714
454	0.0	0.137
455	0.0	0.211
456	0.0	0.448
457	1.0	0.921
458	0.0	0.834
459	1.0	0.972
460	1.0	0.673
461	1.0	0.933
462	1.0	1.0
463	0.0	0.752
464	1.0	0.136
465	1.0	0.582
466	0.0	0.414
467	1.0	0.841
468	1.0	0.559
469	1.0	0.762
470	0.0	0.806
471	0.0	0.552
472	0.0	0.546
473	1.0	0.814
474	1.0	0.94
475	1.0	0.943
476	1.0	0.542
477	1.0	0.979
478	1.0	0.936
479	0.0	0.78
480	1.0	0.687
481	1.0	0.951
482	1.0	0.903
483	1.0	0.835
484	0.0	0.756
485	1.0	0.836
486	1.0	0.897
487	1.0	0.541
488	0.0	0.44
489	1.0	0.538
490	1.0	0.857
491	1.0	0.896
492	1.0	0.827
493	1.0	0.941
494	1.0	0.738
495	1.0	0.458
496	1.0	0.714
497	1.0	0.834
498	1.0	0.968
499	0.0	0.274
500	1.0	0.956
501	0.0	0.828
502	1.0	0.991
503	0.0	0.6
504	1.0	0.958
505	0.0	0.339
506	1.0	0.219
507	1.0	0.858
508	1.0	0.971
509	0.0	0.636
510	0.0	0.17
511	0.0	0.031
512	0.0	0.182
513	0.0	0.788
514	1.0	0.997
515	1.0	0.862
516	1.0	0.787
517	1.0	0.5
518	0.0	0.746
519	0.0	0.559
520	0.0	0.279
521	1.0	0.902
522	1.0	0.97
523	0.0	0.404
524	0.0	0.189
525	1.0	0.982
526	1.0	0.83
527	0.0	0.049
528	0.0	0.266
529	1.0	0.955
530	0.0	0.152
531	1.0	0.943
532	0.0	0.7
533	1.0	0.726
534	0.0	0.035
535	0.0	0.501
536	1.0	0.98
537	0.0	0.735
538	0.0	0.439
539	0.0	0.197
540	1.0	0.94
541	1.0	0.972
542	1.0	0.943
543	1.0	0.801
544	1.0	0.701
545	0.0	0.432
546	1.0	0.797
547	1.0	0.975
548	0.0	0.764
549	0.0	0.275
550	0.0	0.176
551	1.0	0.92
552	1.0	0.737
553	1.0	0.764
554	1.0	0.306
555	1.0	0.587
556	1.0	0.968
557	0.0	0.407
558	1.0	0.988
559	1.0	0.925
560	1.0	0.918
561	1.0	0.811
562	1.0	0.657
563	0.0	0.645
564	1.0	0.922
565	0.0	0.286
566	1.0	0.923
567	1.0	0.96
568	1.0	0.978
569	1.0	0.963
570	0.0	0.76
571	1.0	0.64
572	1.0	0.957
573	0.0	0.219
574	0.0	0.014
575	1.0	0.76
576	1.0	0.625
577	1.0	0.866
578	1.0	0.959
579	1.0	0.935
580	0.0	0.045
581	1.0	0.542
582	1.0	0.974
583	0.0	0.535
584	1.0	0.79
585	1.0	0.871
586	0.0	0.324
587	0.0	0.342
588	1.0	0.961
589	1.0	0.988
590	0.0	0.399
591	1.0	0.817
592	1.0	0.649
593	1.0	0.916
594	1.0	0.865
595	1.0	0.954
596	0.0	0.434
597	1.0	0.852
598	0.0	0.406
599	1.0	0.99
600	0.0	0.058
601	0.0	0.837
602	1.0	0.987
603	1.0	0.985
604	1.0	0.966
605	1.0	0.981
606	0.0	0.15
607	0.0	0.028
608	1.0	0.77
609	1.0	0.979
610	1.0	0.974
611	1.0	0.982
612	1.0	0.92
613	0.0	0.24
614	1.0	0.491
615	1.0	0.964
616	1.0	0.956
617	1.0	0.961
618	0.0	0.32
619	0.0	0.01
620	1.0	0.996
621	1.0	0.901
622	1.0	0.65
623	1.0	0.925
624	1.0	0.532
625	0.0	0.072
626	1.0	0.927
627	1.0	0.978
628	1.0	0.305
629	1.0	0.212
630	1.0	0.222
631	0.0	0.538
632	0.0	0.157
633	1.0	0.892
634	1.0	0.989
635	1.0	0.656
636	1.0	0.947
637	0.0	0.331
638	1.0	0.921
639	0.0	0.497
640	1.0	0.967
641	1.0	0.753
642	1.0	0.78
643	0.0	0.036
644	1.0	0.974
645	1.0	0.324
646	0.0	0.339
647	1.0	0.854
648	0.0	0.494
649	0.0	0.617
650	0.0	0.292
651	1.0	0.499
652	0.0	0.495
653	0.0	0.206
654	1.0	0.901
655	0.0	0.672
656	0.0	0.606
657	0.0	0.011
658	1.0	0.934
659	1.0	0.994
660	1.0	0.321
661	1.0	0.974
662	0.0	0.652
663	1.0	0.982
664	1.0	0.949
665	1.0	0.853
666	1.0	0.944
667	1.0	0.888
668	1.0	0.922
669	1.0	0.828
670	1.0	0.969
671	1.0	0.985
672	1.0	0.942
673	1.0	0.361
674	0.0	0.319
675	1.0	0.895
676	0.0	0.059
677	1.0	0.92
678	0.0	0.796
679	1.0	0.922
680	0.0	0.297
681	1.0	0.835
682	1.0	0.97
683	1.0	0.971
684	0.0	0.061
685	1.0	0.938
686	0.0	0.474
687	1.0	0.974
688	1.0	0.728
689	1.0	0.319
690	0.0	0.305
691	0.0	0.454
692	1.0	0.383
693	1.0	1.0
694	0.0	0.01
695	1.0	0.952
696	0.0	0.013
697	0.0	0.001
698	0.0	0.831
699	0.0	0.335
700	0.0	0.53
701	1.0	0.986
702	1.0	0.858
